id,comment
왁왁-x1s,Viva La Vida가 2008년에 나온건데 어떻게 이렇게 경이롭지? 진짜 타임머신 탄 것 같이 전혀 촌스럽지 않고 2008년에 나왔다는게 믿기지가 않음....
user-ilusian,"<가사 뜻 정리>- viva la vida : 인생이여 만세. 참고로 이 제목은 멕시코 화가 프리다 칼로의 작품 속에 써놓은 구절에서 인용한거라고 함. 프리다 칼로는 소아마비와 교통사고 후유증으로 평생 고통스럽게 살다가 진정제 과다복용으로 요절했는데 그의 마지막 작품에 저 구절을 대문짝만하게 적어뒀고, 그걸 본 크리스 마틴은 그런 삶을 산 화가가 저런 표현을 쓴 것에 대해 매우 깊은 감명을 받았다고 함.- long live the king : 왕의 경축을 빌어주는 멘트. 사극에서 신하들이 왕한테 만수무강하소서 즈언하~ 하는거랑 비슷한 느낌- I know Saint Peter won't call my name : 직역하면 성 베드로가 내 이름을 부르지 않을 걸 안다는 뜻이지만 실질적인 의미는 천국에 가지 못한다는 걸 안다는 뜻. 성 베드로는 예수의 12제자 중 한명으로 천국의 문지기인데, 죽어서 천국의 문으로 오는 사람들을 보고 천국에 갈 자격이 있는 사람만 들여보내 준다고 함."
아에이-d5k,진짜 대머리 아저씨 대단한게 머리는 다 놓쳤으면서 박자는 안놓쳐
유스-x5e,2024년에 온사람은 여기
thechef518,진짜 저런 슈퍼스타가 왜 우울증에 걸리는지 알겠다...화면으로만 봐도 엄청 벅차오르는데저 무대에서의 현장감은 어떤 것과도 비교가 안된당무대에서 내려와 집에 가는 길의 공허함은 견디기 힘들 듯...
코알라-u2b,"음식은몰라도 밴드는 영국이확실함  비틀즈,퀸,오아시스,뮤즈,라디오헤드,콜드플레이 전세계를 뒤흔들어버림"
user-hk3eb3kc4k,저 상태에서 흥분안하고 차분한 목소리로 이끌어가는거...나같았으면 흥을 감당 못하고 옥타브 높게 올리다 휘청거리면서 관객석으로 떨어져 팬들한테 뽀뽀당하다 질식사로 죽을듯 ㄷㄷ
꼬꼬마진진,"3:29 관객들도 다 감동받았겠지만, 반대의 입장에서 가수가 저렇게 수많은 관객앞에서 노래부를수있고, 환호하고 같이 따라부르면 그것또한 전율이 지릴거같음....가수나 관객이나 다 부럽다... 관객입장말고, 내가 저 중앙무대에서 나의 노래에 다들 따라불러주면 어떤느낌일까..."
asdf7622,내한 때 생각난다... 8시 정각에 콘서트 시작 안하니까 사람들 한명 한명 비바라비다 부르기 시작하고 비바라비다 부를 때도 떼창 진짜 소름 돋았고 콘서트 끝나고도 다들 떼창하고 경기장 나와서도 다 떼창하고 지하철역에서도 다 떼창하고
ddoddi,"2020존버단 모집합니다..죽기전에 가야하지않겠어요 콜드플레이콘서트..??그리고 될 수 있으면 “20대”에 가야죠 가장 청춘스러울때,, ㅠㅠ 이 노래 떼창하려고 가사 열심히 발음까지 신경써서 외웠단말이에요.. 제발 한번만 더 와줘..ㅠ"
