"행정구역","2025년01월_계_총인구수","2025년01월_계_연령구간인구수","2025년01월_계_0~9세","2025년01월_계_10~19세","2025년01월_계_20~29세","2025년01월_계_30~39세","2025년01월_계_40~49세","2025년01월_계_50~59세","2025년01월_계_60~69세","2025년01월_계_70~79세","2025년01월_계_80~89세","2025년01월_계_90~99세","2025년01월_계_100세 이상"
"서울특별시  (1100000000)","9,330,658","9,330,658","481,444","720,200","1,302,814","1,442,331","1,382,564","1,487,739","1,324,900","779,744","357,147","50,292","1,483"
"서울특별시 종로구 (1111000000)","138,208","138,208","5,466","9,347","20,902","19,684","18,481","23,358","20,980","11,969","6,862","1,117","42"
"서울특별시 종로구 청운효자동(1111051500)","11,040","11,040","541","1,015","1,311","1,512","1,780","1,900","1,416","904","564","93","4"
"서울특별시 종로구 사직동(1111053000)","8,939","8,939","411","623","1,028","1,432","1,389","1,450","1,268","712","515","104","7"
"서울특별시 종로구 삼청동(1111054000)","2,214","2,214","83","152","239","279","309","337","377","256","152","30","0"
"서울특별시 종로구 부암동(1111055000)","9,028","9,028","361","768","1,042","1,185","1,334","1,614","1,393","792","446","90","3"
"서울특별시 종로구 평창동(1111056000)","17,232","17,232","935","1,501","1,908","2,032","2,395","3,097","2,832","1,500","830","190","12"
"서울특별시 종로구 무악동(1111057000)","7,822","7,822","496","913","786","820","1,232","1,414","1,104","620","382","53","2"
"서울특별시 종로구 교남동(1111058000)","9,527","9,527","701","730","1,059","1,415","1,625","1,638","1,185","739","384","51","0"
"서울특별시 종로구 가회동(1111060000)","3,777","3,777","153","302","373","506","592","669","549","369","224","39","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,647","6,647","147","209","950","1,004","832","1,049","1,291","731","381","50","3"
"서울특별시 종로구 종로5.6가동(1111063000)","5,276","5,276","138","187","1,066","951","571","811","796","464","258","34","0"
"서울특별시 종로구 이화동(1111064000)","6,989","6,989","160","324","1,541","1,239","796","1,008","932","584","352","53","0"
"서울특별시 종로구 혜화동(1111065000)","15,837","15,837","462","1,168","4,266","2,038","1,828","2,332","1,732","1,122","768","114","7"
"서울특별시 종로구 창신제1동(1111067000)","4,495","4,495","103","155","564","599","456","793","1,022","514","260","29","0"
"서울특별시 종로구 창신제2동(1111068000)","7,328","7,328","149","309","873","898","740","1,562","1,556","783","404","54","0"
"서울특별시 종로구 창신제3동(1111069000)","6,227","6,227","268","397","746","918","777","1,128","1,100","557","288","47","1"
"서울특별시 종로구 숭인제1동(1111070000)","5,741","5,741","168","326","706","808","768","1,055","1,018","550","293","48","1"
"서울특별시 종로구 숭인제2동(1111071000)","10,089","10,089","190","268","2,444","2,048","1,057","1,501","1,409","772","361","38","1"
"서울특별시 중구 (1114000000)","120,325","120,325","5,273","5,871","16,637","21,579","16,358","18,557","18,377","10,921","5,792","939","21"
"서울특별시 중구 소공동(1114052000)","2,166","2,166","135","139","209","447","526","316","216","112","58","8","0"
"서울특별시 중구 회현동(1114054000)","4,293","4,293","142","202","406","544","489","751","906","541","254","57","1"
"서울특별시 중구 명동(1114055000)","2,510","2,510","50","110","307","318","330","442","470","298","147","38","0"
"서울특별시 중구 필동(1114057000)","4,335","4,335","128","193","809","882","542","578","608","340","204","49","2"
"서울특별시 중구 장충동(1114058000)","4,535","4,535","125","258","1,227","667","492","574","551","372","233","35","1"
"서울특별시 중구 광희동(1114059000)","5,741","5,741","119","171","1,146","1,289","673","731","831","507","243","31","0"
"서울특별시 중구 을지로동(1114060500)","3,092","3,092","128","83","387","937","486","358","381","214","106","12","0"
"서울특별시 중구 신당동(1114061500)","7,384","7,384","225","251","1,196","1,335","948","1,158","1,175","690","350","55","1"
"서울특별시 중구 다산동(1114062500)","13,034","13,034","397","641","1,902","2,162","1,671","2,121","2,117","1,243","680","99","1"
"서울특별시 중구 약수동(1114063500)","15,883","15,883","772","832","1,670","2,315","2,069","2,593","2,700","1,754","1,014","161","3"
"서울특별시 중구 청구동(1114064500)","12,281","12,281","564","666","1,439","2,119","1,506","1,993","1,989","1,215","684","104","2"
"서울특별시 중구 신당제5동(1114065000)","10,078","10,078","427","490","1,405","1,862","1,358","1,675","1,525","853","425","57","1"
